applicant_id,age,gender,college_level,ex_industries,ex_jobs,working_hours,consume_day_off,satisfaction,motivation,transparency,respectable,growable,mentorship,compliance,fairness,industries,jobs,selected_company_id
36,21,1,70,67,18,0,0,10,10,0,40,0,0,20,20,"17,18,30,32,35,50,61","1,5,6,12,13,14,16","5,54,59,108,182,343,356,369,374,387,459,498"
37,23,1,80,67,18,17,15,10,6,8,9,6,6,8,15,"11,15,36","1,2,13",414
38,24,1,72,67,18,0,0,50,20,0,0,15,15,0,0,"16,26,27,28","2,3,13","119,140,181,183,194,271,282,420"
39,21,1,79,"9,11,12,13,15","2,4,5,6",11,11,16,12,5,20,9,9,7,0,"9,11,12,13,15","2,5,6","63,93,244"
40,21,1,70,67,18,20,20,0,15,0,0,0,25,20,0,"11,15,32","2,4,7","25,45,97,141,192,243"
41,20,1,79,67,18,6,4,22,13,9,19,11,11,0,5,"2,9,15","4,5,9,13","1,19,21,28,30,34,41,46,48,61,135,137,184,232,244,285,300,384,393,434"
42,21,1,79,67,18,10,0,20,10,20,20,10,10,0,0,"3,18,29","1,5,6","7,43,65,70,75,88,180,182,197,210,220,234,260,388"
43,21,2,78,67,18,5,3,10,13,15,20,10,10,10,4,"1,3,5,11,18,35,44","1,2,4,6,12,13","2,16,25,33,37,45,47,50,64,65,66,70,76,93,97,105,114,116,120,122,124,136,141,143,149,168,179,182,190,191,192,193,196,205,216,227,242,251,261,263,264,265,272,299,320,336,340,341,348,353,367,368,369,373,375,377,389,404,405,408,413,414,416,422,432,447,474,478,479,497"
44,22,1,72,67,18,0,0,51,0,0,49,0,0,0,0,"9,20,43,44,45","1,4,5,6","86,215"
45,22,1,80,67,18,8,10,25,10,10,10,5,7,8,7,"1,2,20,22,27,44","5,7,9","86,200,215,265,434,447,462"
46,20,1,80,67,18,13,0,13,12,14,24,14,0,0,10,"13,16,43","5,6,13","68,140,170"
47,20,1,80,67,18,16,10,20,0,17,16,9,0,0,12,"9,20,44","1,6,13",231
48,22,2,82,52,1,11,8,9,9,18,20,10,6,4,5,"1,6,9,29,44,50,52,62,63","1,4,5,6","41,158,176,200,215,265,274,338,354,413,486"
49,21,2,80,67,18,10,9,15,5,16,15,10,5,5,10,"9,15,16,17,18,28,30,44","1,4,5,6,11","19,41,46,140,161,226,238,239,244,285,352,445,449,451"
50,23,1,73,67,18,20,15,20,0,20,5,0,5,0,15,"3,16,17,29,33,35,43,44,62,63","6,12,13","43,65,86,118,140,145,200,219,265,282,292,369"
51,21,2,80,67,18,16,15,10,5,11,15,3,15,0,10,"9,16,17,18,30","1,4,5,6","19,41,140,182,184,223,244,285,352,449,451"
52,23,2,68,"1,3,5,9,11,20,30,34,36,37,42,50,58","4,5,6,9,12,14",0,8,11,8,6,18,14,15,6,14,"9,11,18,20,30,36,37,42,50,58","4,5,6,9,12","1,2,16,19,37,41,44,45,46,47,48,54,66,93,97,106,115,116,120,124,136,137,150,161,162,171,179,182,184,189,191,192,196,205,208,226,241,242,244,248,253,261,266,268,280,285,287,300,321,323,325,331,340,341,348,352,356,362,368,371,375,384,395,403,404,418,422,428,432,437,449,451,471,478,481"
53,21,1,0,67,18,20,10,42,0,0,10,9,9,0,0,"11,14,17,27","2,3,5","45,74,97,259,264"
54,21,2,73,67,18,0,0,25,10,15,20,20,0,0,10,"9,10,17,18,20,30,44,52","1,4,12,13,14","46,253,283,447,475"
55,21,2,73,15,18,0,0,23,0,11,26,24,16,0,0,"9,15,44","5,6,18","41,86,200,215,265"
56,20,2,74,67,18,18,14,13,4,9,10,8,5,11,8,"3,20,29","1,6,13","65,73,171,210,260,388"
57,22,1,54,49,18,10,10,10,0,0,50,0,5,5,10,"27,28,29,32,33,36","1,12,13","60,210,260,275,388"
58,21,1,80,67,18,15,13,30,10,5,27,0,0,0,0,"13,16,17,18,35,43,50,63,65","1,5,6,12,13,15","83,170,223"
59,22,2,80,67,18,16,15,15,4,9,15,5,5,10,6,"9,12,17,18,19,31,32,33,34,35,43,44,45,52,55,62,63,64","4,5,6,12,13,15","98,215,292,300,381,459"
60,24,1,80,"1,15",4,100,0,0,0,0,0,0,0,0,0,"9,11,12,13,14","2,4,6",1
61,22,1,80,67,18,0,0,17,20,15,26,16,0,0,6,"15,20,22,24,27,31","1,5,6,13",225
62,23,2,72,67,18,0,0,30,0,0,8,16,15,31,0,"21,22,23,24,25,59,64","2,3,5,6,18","6,15,17,26,82,121,213,228,250,492"
63,21,1,80,67,6,0,0,0,0,0,0,100,0,0,0,"12,23,55","1,4,6",328
64,22,2,70,11,2,17,10,18,11,11,20,10,0,0,3,"9,29,30","2,4,5,6",137
