logo,name,link,totalRate,category,reviewNums,workingHours,consumeDayOff,jobArray,rateArray
https://image.vorkers.com/resize/70x-/logo/company/7371-52813980b3cb96c495bd1facd776b833.png,みずほ証券株式会社,https://www.vorkers.com/company.php?m_id=a0910000000G2Oz,3.07,証券会社、投資ファンド、投資関連業界,4996,34.3 ｈ,51.20%,"['営業 ：549人', '投資銀行 ：111人', '管理 ：22人', 'リテール ：15人', 'アソシエイト ：14人', '事務 ：14人', 'コンサルタント ：11人', 'IT ：10人', '総合職 ：10人', '企画 ：9人']","['2.8', '4.6', '2.8', '3.1', '2.8', '2.8', '2.6', '2.8']"
https://image.vorkers.com/resize/70x-/logo/company/7914-d83018f72eb27216f09d4d8c9c69ea2f.png,有限責任あずさ監査法人,https://www.vorkers.com/company.php?m_id=a0910000000GARB,3.51,監査法人、税理士法人、法律事務所業界,4969,37.2 ｈ,59.80%,"['監査 ：273人', 'シニア ：156人', 'スタッフ ：153人', 'マネージャー ：57人', '専門職 ：55人', '会計士 ：40人', '金融 ：36人', '会計監査 ：29人', '東京事務所 ：20人', 'アドバイザリー ：18人']","['3.1', '4.3', '2.5', '3.5', '2.7', '2.7', '3.5', '3.5']"
https://image.vorkers.com/resize/70x-/logo/company/2420-dd7d96866d2c100812fea429ad25dfd8.png,日産自動車株式会社,https://www.vorkers.com/company.php?m_id=a0910000000FrTp,3.34,自動車、自動車部品、輸送機器業界,4928,29.0 ｈ,80.90%,"['開発 ：142人', '研究開発 ：85人', '管理 ：67人', 'マーケティング ：55人', '事務 ：54人', '営業 ：53人', '企画 ：47人', '生産技術 ：45人', '技術 ：35人', '設計 ：33人']","['3.6', '3.8', '2.8', '3.2', '2.8', '3.1', '2.8', '3.7']"
https://image.vorkers.com/resize/70x-/logo/company/1416-a05725c5cde1f15a3e83b0eca3b09ccc.png,日本オラクル株式会社,https://www.vorkers.com/company.php?m_id=a0910000000Fr6t,3.24,SIer、ソフト開発、システム運用業界,4911,31.1 ｈ,57.50%,"['営業 ：339人', 'コンサルタント ：216人', 'エンジニア・SE ：52人', '管理 ：24人', 'サポート ：24人', 'マネージャー ：19人', 'サービス ：17人', 'SC ：13人', 'カスタマーサポート ：12人', 'バックオフィス ：12人']","['2.8', '2.8', '2.2', '3.4', '3.0', '3.7', '2.9', '2.8']"
https://image.vorkers.com/resize/70x-/logo/company/1399-f6b8340aa8be28fa37997fad4b4f3984.png,ヤフー株式会社,https://www.vorkers.com/company.php?m_id=a0910000000Fr6b,3.46,インターネット業界,4401,21.5 ｈ,75.50%,"['エンジニア・SE ：181人', '企画 ：178人', '営業 ：165人', '管理 ：34人', 'デザイナー ：30人', 'マーケティング ：27人', '開発 ：25人', '技術 ：24人', 'マネージャー ：12人', '広告 ：10人']","['2.9', '4.7', '2.7', '3.0', '3.6', '4.1', '2.9', '2.8']"
https://image.vorkers.com/resize/70x-/logo/company/2422-71d809d6086fdb7ec17d1e7fc3ddc471.png,トヨタ自動車株式会社,https://www.vorkers.com/company.php?m_id=a0910000000FrTr,4.16,自動車、自動車部品、輸送機器業界,4396,27.2 ｈ,86.40%,"['技術 ：141人', '営業 ：96人', '事務 ：61人', '管理 ：58人', '生産技術 ：48人', '開発 ：48人', '製造 ：45人', '企画 ：30人', '総合職 ：29人', '一般職 ：27人']","['3.3', '4.9', '4.0', '3.7', '4.2', '3.5', '3.7', '4.3']"
https://image.vorkers.com/resize/70x-/logo/company/5635-35bd87efefb45460df8de6b132c10588.png,株式会社セブン‐イレブン・ジャパン,https://www.vorkers.com/company.php?m_id=a0910000000G1QX,2.88,小売（百貨店・専門・CVS・量販店）業界,4253,41.1 ｈ,41.20%,"['OFC ：184人', '営業 ：164人', '店長 ：83人', '販売 ：54人', 'オペレーション ：46人', 'スーパーバイザー ：44人', '副店長 ：27人', '事務 ：23人', '会計 ：21人', '店勤務 ：16人']","['2.9', '3.2', '2.5', '3.0', '3.0', '2.6', '2.8', '2.8']"
https://image.vorkers.com/resize/70x-/logo/company/20826-cdf7361bf15ba699bb5532779f7d9561.png,PwCコンサルティング合同会社,https://www.vorkers.com/company.php?m_id=a0C30000003Llud,3.73,コンサルティング、シンクタンク業界,4111,58.2 ｈ,51.80%,"['コンサルタント ：413人', 'アソシエイト ：96人', 'マネージャー ：78人', 'ASSOCIATE ：13人', '管理職 ：11人', 'アナリスト ：11人', 'SA ：10人', 'テクノロジー ：9人', 'シニアマネージャー ：9人', '会計 ：8人']","['3.6', '4.0', '2.6', '4.2', '3.3', '3.8', '3.7', '3.2']"
https://image.vorkers.com/resize/70x-/logo/company/11252-d810eebdc6830894c5c4990cb36a4020.png,株式会社リクルートライフスタイル,https://www.vorkers.com/company.php?m_id=a0C1000000PyUQv,4.31,インターネット業界,4105,35.3 ｈ,71.30%,"['営業 ：642人', '企画 ：34人', '事務 ：25人', '編集 ：12人', 'ネットビジネス ：12人', 'スタッフ ：11人', 'マーケティング ：10人', 'マネージャー ：9人', '美容 ：7人', 'チームリーダー ：6人']","['4.2', '4.0', '2.7', '4.8', '4.5', '4.5', '4.4', '3.6']"
https://image.vorkers.com/resize/70x-/logo/company/10-83d6136a167d28366b8833fd53771733.png,明治安田生命保険相互会社,https://www.vorkers.com/company.php?m_id=a0910000000FqdP,2.94,生命保険、損害保険業界,4094,25.5 ｈ,46.60%,"['営業 ：522人', '事務 ：100人', '総合職 ：64人', '本社 ：28人', 'スタッフ ：19人', '管理 ：19人', 'アドバイザー ：12人', '支社 ：11人', '所長 ：9人', '一般事務 ：9人']","['3.2', '3.9', '2.5', '2.6', '3.0', '2.7', '2.8', '2.5']"
